anchor_item,recommended_item,recommendation_rank,cosine_similarity,co_basket_count,anchor_basket_count,recommended_basket_count,recommendation_score
BAKING MIXES,BAKED BREAD/BUNS/ROLLS,5,0.20326258666381034,5300,11282,60263,1.7431089560038548
BAKING MIXES,VEGETABLES - SHELF STABLE,6,0.19569471088627208,3124,11282,22588,1.5747924348159827
BAKING MIXES,SUGARS/SWEETNERS,7,0.19013228634167642,2048,11282,10284,1.4497790556949224
BAKING MIXES,SHORTENING/OIL,8,0.18646161169082617,1800,11282,8260,1.397734392372832
BAKING MIXES,BEEF,9,0.18533610798285902,3771,11282,36695,1.5263096895484578
BAKING MIXES,DINNER MXS:DRY,10,0.17925893683184752,2196,11282,13302,1.3793702845382563
BAKING NEEDS,BAKING MIXES,1,0.23892071842847867,2587,10392,11282,1.87759207131217
BAKING NEEDS,SUGARS/SWEETNERS,2,0.2093276767584374,2164,10392,10284,1.6076733239093355
BAKING NEEDS,CHEESE,3,0.1925095742479287,4248,10392,46856,1.6083094834418188
BAKING NEEDS,FLUID MILK PRODUCTS,4,0.1858581857212237,4984,10392,69198,1.5824316613982852
BAKING NEEDS,EGGS,5,0.1787020500549676,3041,10392,27866,1.433238775488122
BAKING NEEDS,SPICES & EXTRACTS,6,0.16921969798355052,1678,10392,9462,1.2566176350905038
BAKING NEEDS,BAKED BREAD/BUNS/ROLLS,7,0.16899067559769504,4229,10392,60263,1.4110649206139811
BAKING NEEDS,VEGETABLES - SHELF STABLE,8,0.16885268469666687,2587,10392,22588,1.3269525727679448
BAKING NEEDS,FLOUR & MEALS,9,0.16030709807017254,915,10392,3135,1.0932970322119975
BAKING NEEDS,FRUIT - SHELF STABLE,10,0.15875152267425324,1866,10392,13295,1.1957304617039377
BATH TISSUES,PAPER TOWELS,1,0.31805533572121436,3743,13618,10170,2.6169306256809497
BATH TISSUES,BAKED BREAD/BUNS/ROLLS,2,0.2294465824885763,6573,13618,60263,2.017036857781585
BATH TISSUES,FLUID MILK PRODUCTS,3,0.22132073631611587,6794,13618,69198,1.952921412930787
BATH TISSUES,FACIAL TISS/DNR NAPKIN,4,0.19741736502310242,1907,13618,6852,1.4912534342863812
BATH TISSUES,CHEESE,5,0.1947716898942557,4920,13618,46856,1.655806147791805
BATH TISSUES,COLD CEREAL,6,0.1911510243692046,3536,13618,25128,1.5619015554224207
BATH TISSUES,SOFT DRINKS,7,0.19094133329662155,5960,13618,71545,1.659851775190039
BATH TISSUES,LAUNDRY DETERGENTS,8,0.18397053215665288,1975,13618,8463,1.3961210711585956
BATH TISSUES,BEEF,9,0.17781853261167954,3975,13618,36695,1.4737656116212887
BATH TISSUES,SOUP,10,0.17607903006758166,3155,13618,23576,1.41867943007618
BEANS - CANNED GLASS & MW,VEGETABLES - SHELF STABLE,1,0.3400501483841249,4980,9495,22588,2.894978156593895
BEANS - CANNED GLASS & MW,BEEF,2,0.25286636647928046,4720,9495,36695,2.1391927982574495
BEANS - CANNED GLASS & MW,DRY SAUCES/GRAVY,3,0.23251981227383353,1825,9495,6488,1.7461965995781827
BEANS - CANNED GLASS & MW,BAKED BREAD/BUNS/ROLLS,4,0.22754404588487587,5443,9495,60263,1.9573951748240512
BEANS - CANNED GLASS & MW,CHEESE,5,0.22145208686760745,4671,9495,46856,1.8711245347115293
BEANS - CANNED GLASS & MW,CRACKERS/MISC BKD FD,6,0.20930664483207315,3073,9495,22702,1.680886182498819
BEANS - CANNED GLASS & MW,SOUP,7,0.20412043574216393,3054,9495,23576,1.637971554620344
BEANS - CANNED GLASS & MW,DRY BN/VEG/POTATO/RICE,8,0.20301031154243207,2278,9495,13261,1.5695726055449968
BEANS - CANNED GLASS & MW,DRY NOODLES/PASTA,9,0.1996268329278163,2303,9495,14017,1.5455911948690062
BEANS - CANNED GLASS & MW,CONDIMENTS/SAUCES,10,0.19797895116963926,2578,9495,17858,1.5551557452972324
BEEF,BAKED BREAD/BUNS/ROLLS,1,0.39976606740901244,18799,36695,60263,3.9343425856977485
BEEF,CHEESE,2,0.3821015348593105,15844,36695,46856,3.69515464590365
BEEF,VEGETABLES - SHELF STABLE,3,0.35804043353862086,10308,36695,22588,3.308570220451469
BEEF,FLUID MILK PRODUCTS,4,0.3535574450114341,17816,36695,69198,3.4605878635241
BEEF,PORK,5,0.3058265786268862,6516,36695,12371,2.685820828576876
BEEF,BAG SNACKS,6,0.2974292576127639,11673,36695,41975,2.7854605182597822
BEEF,DINNER MXS:DRY,7,0.29280280533820346,6469,36695,13302,2.5693245269087743
BEEF,DRY NOODLES/PASTA,8,0.29171886411703535,6616,36695,14017,2.5663667691329874
BEEF,SOFT DRINKS,9,0.2914822658782137,14935,36695,71545,2.8015904512040937
BEEF,EGGS,10,0.28998764654601633,9273,36695,27866,2.6490284704035685
BEERS/ALES,BAG SNACKS,1,0.15736790625315086,4014,15500,41975,1.3058062521363898
BEERS/ALES,SOFT DRINKS,2,0.1540500600764602,5130,15500,71545,1.3160582670741643
BEERS/ALES,BAKED BREAD/BUNS/ROLLS,3,0.15388055915981766,4703,15500,60263,1.3012399355259645
BEERS/ALES,CHEESE,4,0.15113531498947544,4073,15500,46856,1.2562942598077693
BEERS/ALES,FLUID MILK PRODUCTS,5,0.14112934335325683,4622,15500,69198,1.1909621790584972
