metric,mean,std,min,max,n_successful_runs
test_PR_AUC,0.26928643503226557,0.026198444774593738,0.23946036469679824,0.29831751990663813,5
test_F2_score,0.42936652215659327,0.040534749077759974,0.37433155080213903,0.4665071770334928,5
test_precision,0.199724547834079,0.024809454371291215,0.1619047619047619,0.22058823529411764,5
test_recall,0.63,0.15429049081377488,0.4666666666666667,0.85,5
test_brier_score,0.09813910970158311,0.0033844667870448187,0.09564568772963293,0.10378164492890483,5
test_calibration_gap,0.005595456611113952,0.00864349502775983,-0.0013944015226742823,0.020560069094750277,5
