value_model,target,val_RMSE_log,val_MAE_log,val_R2_log,val_MAE_revenue,test_RMSE_log,test_MAE_log,test_R2_log,test_MAE_revenue
Random Forest Regressor,log1p(discounted_future_revenue_60d | active),0.8826809509918332,0.6565364229515686,0.5148912558616325,139.38105144008117,0.886085993761262,0.6424227423441716,0.49624298553579893,143.76623907331785
Ridge Regression,log1p(discounted_future_revenue_60d | active),0.9187652030896418,0.6866616804215179,0.4744177720840548,166.32047089797993,0.9571952177679451,0.7133068391915242,0.41214474716749305,191.12970236322124
XGBoost Regressor,log1p(discounted_future_revenue_60d | active),0.9197488914146852,0.6744252016490986,0.4732917262323255,143.68173996292776,0.9120045559614948,0.6611733329245315,0.46634156456354103,149.71486863752042
