seed,model,calibration_method,threshold,test_PR_AUC,test_F2_score,test_precision,test_recall,test_brier_score,test_mean_predicted_probability,test_actual_churn_rate,test_calibration_gap,test_predicted_positive_rate,note
7,Logistic Regression balanced stability check,isotonic,0.08,0.28438320195513944,0.4594594594594595,0.1619047619047619,0.85,0.09642727966863986,0.14056006909475027,0.12,0.020560069094750277,0.63,Repeated split diagnostic; do not pick best seed for final reporting.
21,Logistic Regression balanced stability check,isotonic,0.09,0.2436578168196663,0.37433155080213903,0.208955223880597,0.4666666666666667,0.10378164492890483,0.12413819201906352,0.12,0.004138192019063527,0.268,Repeated split diagnostic; do not pick best seed for final reporting.
42,Logistic Regression balanced stability check,isotonic,0.08,0.28061327178308576,0.39893617021276595,0.22058823529411764,0.5,0.09604209020019444,0.11860559847732571,0.12,-0.0013944015226742823,0.272,Repeated split diagnostic; do not pick best seed for final reporting.
99,Logistic Regression balanced stability check,isotonic,0.06999999999999999,0.23946036469679824,0.44759825327510916,0.18807339449541285,0.6833333333333333,0.09879884598054349,0.12349425767104504,0.12,0.0034942576710450396,0.436,Repeated split diagnostic; do not pick best seed for final reporting.
123,Logistic Regression balanced stability check,isotonic,0.06999999999999999,0.29831751990663813,0.4665071770334928,0.21910112359550563,0.65,0.09564568772963293,0.1211791657933852,0.12,0.0011791657933852007,0.356,Repeated split diagnostic; do not pick best seed for final reporting.
