champion_model,calibration_method,val_PR_AUC,val_ROC_AUC,val_F2_score,val_precision,val_recall,val_brier_score,val_threshold,val_predicted_positive_rate,val_mean_predicted_probability,val_actual_positive_rate,val_calibration_gap_mean_minus_actual,val_TN,val_FP,val_FN,val_TP,test_PR_AUC,test_ROC_AUC,test_F2_score,test_precision,test_recall,test_brier_score,test_threshold,test_predicted_positive_rate,test_mean_predicted_probability,test_actual_positive_rate,test_calibration_gap_mean_minus_actual,test_TN,test_FP,test_FN,test_TP
Logistic Regression balanced,isotonic,0.36973962815368683,0.7717987975652564,0.49800796812749004,0.1937984496124031,0.819672131147541,0.08823274269820267,0.06999999999999999,0.516,0.122,0.122,0.0,231,208,11,50,0.3120009403015265,0.7333333333333334,0.4690831556503198,0.19213973799126638,0.7333333333333333,0.09320834579658996,0.06999999999999999,0.458,0.12091287703257195,0.12,0.0009128770325719515,255,185,16,44
Logistic Regression balanced,sigmoid,0.36696382145530476,0.7472646476716831,0.4766355140186916,0.17525773195876287,0.8360655737704918,0.09606578948093993,0.09999999999999999,0.582,0.12195265686784039,0.122,-4.734313215960795e-05,199,240,10,51,0.3416202434186861,0.7304545454545455,0.4536489151873767,0.17228464419475656,0.7666666666666667,0.09489855794128602,0.09999999999999999,0.534,0.121604565770271,0.12,0.001604565770271002,219,221,14,46
Logistic Regression balanced,raw_uncalibrated,0.36696382145530476,0.7472646476716831,0.4835589941972921,0.18315018315018314,0.819672131147541,0.205895863805554,0.43,0.546,0.45757997506329784,0.122,0.33557997506329784,216,223,11,50,0.3416202434186861,0.7304545454545455,0.45643153526970953,0.18181818181818182,0.7333333333333333,0.20519001769280237,0.43,0.484,0.4539302753076724,0.12,0.3339302753076724,242,198,16,44
