clv_model,val_RMSE_log,val_MAE_log,val_R2_log,val_MAE_revenue,test_RMSE_log,test_MAE_log,test_R2_log,test_MAE_revenue
XGBoost Regressor,0.8846080123582871,0.6516872390139427,0.5128527182693671,144.4996025588544,0.8975847588065878,0.6530517084030568,0.48327101550517093,152.58009368261415
Random Forest Regressor,0.8868365735174658,0.660028413030186,0.5103951212332746,140.44998204800652,0.8893760004920398,0.6428482921898002,0.4926791684423313,145.40092861015583
Ridge Regression,0.9188220619590332,0.6867901067994889,0.47444112384920156,167.38011178004655,0.9573644075434643,0.7133520007066343,0.41215011365970056,192.27105502028124
