model_component,n_rows,mean_actual,mean_predicted,mean_residual_actual_minus_predicted,mae,rmse,median_abs_error,p90_abs_error,p95_abs_error,underprediction_rate,overprediction_rate,note
two_part_expected_discounted_value_all_customers,2499,294.1773379819164,255.56848742271987,38.60885055919656,152.77299567470342,283.24440358703555,79.39736319006508,380.1605918344976,515.0873174811885,0.5286114445778312,0.47098839535814324,Residuals are on discounted 60-day revenue scale; large errors in high-value tail should be reviewed before profit deployment.
conditional_value_if_future_active,2234,329.0730383244445,284.5449558425906,44.528082481853936,161.98869147544045,295.2035559558929,88.45593736317264,394.37436650777323,531.7152903495166,0.5608773500447628,0.43912264995523725,Conditional spend model is evaluated only among customers with future revenue > 0.
