model,tuned,features_used,best_cv_PR_AUC,best_params,val_PR_AUC,val_ROC_AUC,val_F2_score,val_precision,val_recall,val_brier_score,val_threshold,val_predicted_positive_rate,val_mean_predicted_probability,val_actual_positive_rate,val_calibration_gap_mean_minus_actual,val_TN,val_FP,val_FN,val_TP,test_PR_AUC,test_ROC_AUC,test_F2_score,test_precision,test_recall,test_brier_score,test_threshold,test_predicted_positive_rate,test_mean_predicted_probability,test_actual_positive_rate,test_calibration_gap_mean_minus_actual,test_TN,test_FP,test_FN,test_TP,best_cv_PR_AUC_std
XGBoost weighted,True,numeric+categorical,0.36803703373647256,"{""model__colsample_bytree"": 0.75, ""model__learning_rate"": 0.01, ""model__max_depth"": 2, ""model__min_child_weight"": 5, ""model__n_estimators"": 200, ""model__reg_lambda"": 10.0, ""model__subsample"": 0.85}",0.377835018613908,0.7367900220321892,0.5158730158730159,0.291044776119403,0.639344262295082,0.1861535668967856,0.47000000000000003,0.268,0.4244557859301567,0.122,0.3024557859301567,344,95,22,39,0.3652138015042468,0.740909090909091,0.4596100278551532,0.2773109243697479,0.55,0.18540471895261862,0.47000000000000003,0.238,0.4226450259387493,0.12,0.3026450259387493,354,86,27,33,0.057376616452959245
Extra Trees balanced,True,numeric+categorical,0.35574573044711766,"{""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 500}",0.37372442956670626,0.7468165353448597,0.48672566371681414,0.21153846153846154,0.7213114754098361,0.1682990783556662,0.38,0.416,0.38825149866440495,0.122,0.26625149866440495,275,164,17,44,0.36851162447952196,0.7511742424242425,0.47297297297297297,0.20588235294117646,0.7,0.16614053504143422,0.38,0.408,0.3856422156518108,0.12,0.2656422156518108,278,162,18,42,0.05679881307524055
Logistic Regression balanced,True,numeric+categorical,0.31552345509420837,"{""model__C"": 0.005}",0.36696382145530476,0.7472646476716831,0.4835589941972921,0.18315018315018314,0.819672131147541,0.205895863805554,0.43,0.546,0.45757997506329784,0.122,0.33557997506329784,216,223,11,50,0.3416202434186861,0.7304545454545455,0.45643153526970953,0.18181818181818182,0.7333333333333333,0.20519001769280237,0.43,0.484,0.4539302753076724,0.12,0.3339302753076724,242,198,16,44,0.044709227162394415
Random Forest balanced,True,numeric+categorical,0.3666189717670719,"{""model__max_depth"": null, ""model__max_features"": null, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",0.30889144199960206,0.7269502221890287,0.4888507718696398,0.168141592920354,0.9344262295081968,0.1077490793288215,0.09,0.678,0.1894265269377654,0.122,0.06742652693776541,157,282,4,57,0.3609008993961432,0.7216287878787878,0.45611015490533563,0.15542521994134897,0.8833333333333333,0.10004826794877636,0.09,0.682,0.18443137815989918,0.12,0.06443137815989919,152,288,7,53,0.06683276667071138
Dummy prior,False,none,,{},0.122,0.5,0.4099462365591398,0.122,1.0,0.10711756959609721,0.01,1.0,0.12074716477651767,0.122,-0.0012528352234823237,0,439,0,61,0.12,0.5,0.40540540540540543,0.12,1.0,0.10560055825520329,0.01,1.0,0.12074716477651767,0.12,0.0007471647765176781,0,440,0,60,
