household_key,churn_flag,Frequency,Monetary,Basket_Value_Std,customer_lifetime,Recency_Capped,Inactive_Days_Ratio,active_weeks_ratio,promo_usage_ratio,Avg_Items_Per_Basket,coupon_dependency,IPT_mean,IPT_std,IPT_CV,Private_Brand_Ratio,Display_Responsiveness,Mailer_Responsiveness,Rolling_Freq_Slope,Primary_Store_ID,Camp_Count_TypeA,Camp_Count_TypeB,Camp_Count_TypeC,Total_Campaigns_Received,Campaigns_Last_30D,Days_Since_Last_Camp,has_demographic_info,future_revenue_60d,discounted_future_revenue_60d,future_txn_count_60d,first_future_day,last_future_day,future_active_flag,annual_discount_rate,value_horizon_start_day,value_horizon_end_day
397,0,190,4742.67,2.355259,547,4,0.0073126142595978,0.8971119133574008,0.0842105218836567,8.568420601662073,0.00526075,3.39375,2.22929854720686,0.6568816142587749,0.2514713750668806,0.5238350266532671,0.1612212096345945,2.5,367,3.0,0.0,2.0,5.0,0.0,36.0,0,490.55,487.62083129058567,150.0,654.0,706.0,1,0.08,651,711
398,0,95,1512.13,2.1552634,541,14,0.0258780036968576,0.6386861313868613,0.0210526293628811,7.063157151246616,0.0006613188,7.219178082191781,6.633765847169201,0.9189074687683102,0.2567132116004296,0.6620021457265647,0.2852529571016904,-2.5000000000000018,327,1.0,0.0,0.0,1.0,0.0,64.0,0,255.88,254.41149235136103,81.0,652.0,701.0,1,0.08,651,711
399,0,14,884.14,4.6097546,538,90,0.2323420074349442,0.1669724770642201,0.0,17.714273061233527,0.0,31.76923076923077,21.7108031716695,0.6833906837552411,0.1795774647887324,0.5673758664051112,0.1489361649313416,0.0,31782,0.0,0.0,0.0,0.0,0.0,651.0,0,19.34,19.291127436751445,6.0,663.0,663.0,1,0.08,651,711
4,1,30,1200.11,5.2667456,547,24,0.0438756855575868,0.3285198555956679,0.0333333222222259,9.999996666667778,0.0020831423,18.03448275862069,17.837526171010314,0.9890783405861956,0.1692708333333333,0.5732984143115599,0.0811518303363395,-1.7803175061665248e-16,298,1.0,0.0,0.0,1.0,0.0,239.0,0,0.0,0.0,0.0,,,0,0.08,651,711
40,0,263,8834.19,2.803326,576,4,0.0069444444444444,0.9605488850771868,0.0342205310182307,12.39923907227228,0.0012055434,2.413502109704641,1.6767058013483436,0.6947161336404208,0.4025542784163474,0.4114490150486863,0.1147457191036398,-1.8990053399109602e-15,406,3.0,6.0,2.0,11.0,1.0,27.0,1,1064.54,1057.865502803829,369.0,651.0,709.0,1,0.08,651,711
400,0,233,14980.02,3.2355819,542,2,0.003690036900369,0.9562841530054644,0.03004291716554,18.103003514892556,0.0023698234,2.71356783919598,1.7875458132635411,0.6587413073041539,0.3037535699714402,0.521224488732195,0.1330612242182424,0.9999999999999982,388,0.0,2.0,0.0,2.0,2.0,5.0,1,1246.58,1238.9006291478247,372.0,651.0,711.0,1,0.08,651,711
401,0,77,2032.26,1.943322,644,1,0.0015527950310559,0.4516129032258064,0.0259740226007762,10.493505130713618,0.0006396819,9.455882352941176,11.535065065941534,1.2198811741288118,0.2971652003910068,0.5396669878583057,0.1567091071820851,0.4999999999999988,367,0.0,0.0,0.0,0.0,0.0,651.0,0,505.34,502.7048232349852,203.0,651.0,706.0,1,0.08,651,711
402,0,62,1503.77,2.253208,589,1,0.0016977928692699,0.4932885906040268,0.0322580593132162,7.838708413111546,0.0021944845,10.31578947368421,9.519074637531066,0.922766544833912,0.1647058823529411,0.3271500788001673,0.1399662708268757,-5.934391687221749e-16,429,1.0,1.0,0.0,2.0,0.0,90.0,0,355.55,353.53480041286775,99.0,655.0,705.0,1,0.08,651,711
403,1,46,914.56,4.822553,611,9,0.0147299509001636,0.43042071197411,0.1086956285444285,5.130433667297028,0.008244402,13.377777777777778,16.282015858119056,1.217093298876035,0.1103896103896103,0.3888888761801021,0.3496731911871506,-4.747513349777401e-16,402,1.0,0.0,0.0,1.0,0.0,427.0,0,0.0,0.0,0.0,,,0,0.08,651,711
404,0,206,5107.18,2.9854524,640,4,0.00625,0.9520865533230294,0.0048543686963898,7.548543322886246,0.00010769152,3.278350515463917,2.547953636042973,0.7772036126058621,0.2673098751418842,0.4090909067665289,0.0874999995028409,-3.0000000000000004,396,5.0,3.0,0.0,8.0,0.0,64.0,1,612.3,608.8334668594124,166.0,655.0,709.0,1,0.08,651,711
405,0,52,2215.94,2.3531096,618,9,0.0145631067961165,0.5264,0.0384615310650901,17.634611993343846,0.0011281894,12.428571428571429,7.910962857537212,0.6365137407678004,0.3330708661417322,0.4503154538618655,0.2626182944588462,0.4999999999999998,361,3.0,0.0,0.0,3.0,0.0,64.0,0,170.52,169.5187252650627,58.0,663.0,691.0,1,0.08,651,711
406,0,35,1464.99,4.8166757,568,4,0.0070422535211267,0.28,0.0,10.142854244898786,0.0,18.8,39.45787802113837,2.098822182601944,0.1763485477178423,0.3520833259982641,0.0729166651475694,-8.30814836211045e-16,369,0.0,0.0,0.0,0.0,0.0,651.0,0,241.84,240.02900368624054,65.0,656.0,711.0,1,0.08,651,711
407,0,43,582.18,5.0010223,556,42,0.0755395683453237,0.2486678507992895,0.116279042725804,2.813952833964457,0.03433646,16.0625,46.78843081429977,2.9128966029779764,0.1859649122807017,0.5936395549950688,0.5653710047572084,0.0,438,0.0,0.0,0.0,0.0,0.0,651.0,0,114.2,113.29725621452378,14.0,679.0,710.0,1,0.08,651,711
408,0,55,2447.98,4.296033,571,11,0.0192644483362521,0.4965397923875432,0.0909090743801682,11.618179705785508,0.009089126,11.428571428571429,9.14239210126832,0.7999586088971952,0.2068965517241379,0.5901234495046488,0.1950617259868922,1.0,31782,2.0,1.0,1.0,4.0,0.0,120.0,0,13.02,12.891608340414143,2.0,698.0,698.0,1,0.08,651,711
409,0,107,3348.89,1.9714483,629,1,0.0015898251192368,0.7374213836477987,0.2056074574198637,14.308409877718702,0.026241533,6.28,5.410576996434248,0.861555474662341,0.2610333692142088,0.5247844799311181,0.2553879296584702,-7.121270024666099e-16,367,3.0,5.0,0.0,8.0,1.0,27.0,1,471.02,467.9554326925435,211.0,660.0,709.0,1,0.08,651,711
