model,rank_test_score,mean_cv_PR_AUC,std_cv_PR_AUC,params
Random Forest balanced,31,0.31124392170357673,0.061235925342929126,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}"
Random Forest balanced,32,0.30983233035193836,0.07174191951364213,"{""model__max_depth"": null, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 100}"
Random Forest balanced,33,0.3088240542757203,0.06107991389535367,"{""model__max_depth"": 10, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}"
Random Forest balanced,34,0.3077413231655625,0.07509685716625576,"{""model__max_depth"": 10, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}"
Random Forest balanced,35,0.3054130341213469,0.08117302858396659,"{""model__max_depth"": 5, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 500}"
Random Forest balanced,36,0.3032745017298429,0.07621890315647206,"{""model__max_depth"": 5, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 100}"
Random Forest balanced,37,0.3030229484013116,0.06200226211538368,"{""model__max_depth"": null, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}"
Random Forest balanced,38,0.302851085139685,0.06783432821551717,"{""model__max_depth"": 10, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 100}"
Random Forest balanced,39,0.2952058908093053,0.07793951235729801,"{""model__max_depth"": 5, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200}"
Random Forest balanced,40,0.29168388406975954,0.07135024259947434,"{""model__max_depth"": 5, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 100}"
Extra Trees balanced,1,0.35574573044711766,0.05679881307524055,"{""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 500}"
Extra Trees balanced,2,0.35534982026861217,0.04870333135327212,"{""model__max_depth"": null, ""model__max_features"": null, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}"
Extra Trees balanced,3,0.353809381441943,0.05787238389061586,"{""model__max_depth"": 10, ""model__max_features"": null, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 500}"
Extra Trees balanced,4,0.35241435658460973,0.06755545529809896,"{""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500}"
Extra Trees balanced,5,0.3467788490618138,0.08548985711888228,"{""model__max_depth"": null, ""model__max_features"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}"
Extra Trees balanced,6,0.344726187386628,0.08191154443410424,"{""model__max_depth"": null, ""model__max_features"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}"
Extra Trees balanced,7,0.34284036240482635,0.061787447886647674,"{""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}"
Extra Trees balanced,8,0.3422635910426384,0.07170061098782804,"{""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 500}"
Extra Trees balanced,9,0.3415896315204114,0.06964148489133787,"{""model__max_depth"": 5, ""model__max_features"": null, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200}"
Extra Trees balanced,10,0.34123835764765226,0.055157524736764954,"{""model__max_depth"": null, ""model__max_features"": null, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200}"
Extra Trees balanced,11,0.3365264709638137,0.06183803435305565,"{""model__max_depth"": 10, ""model__max_features"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}"
Extra Trees balanced,12,0.3211527837170614,0.06373327658491358,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200}"
Extra Trees balanced,13,0.31902319910174715,0.06400551687381306,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 500}"
Extra Trees balanced,14,0.3187578325907982,0.06309510329949417,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}"
Extra Trees balanced,15,0.3183728413750746,0.059718213399733745,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}"
Extra Trees balanced,16,0.3128575417157993,0.0696166605518866,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}"
Extra Trees balanced,17,0.30873058962799665,0.07487045703138188,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500}"
Extra Trees balanced,18,0.30316703785913096,0.06887330603030375,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}"
Extra Trees balanced,19,0.29546577522815376,0.05812255648764652,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 500}"
Extra Trees balanced,20,0.2943895543722189,0.024573713057474474,"{""model__max_depth"": null, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}"
Extra Trees balanced,21,0.29333056519857725,0.045655532457604064,"{""model__max_depth"": null, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 100}"
Extra Trees balanced,22,0.29220949785986805,0.06174999167348347,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}"
Extra Trees balanced,23,0.292184315089708,0.01754324472301339,"{""model__max_depth"": null, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}"
Extra Trees balanced,24,0.2907651960674428,0.07447422930998311,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 100}"
Extra Trees balanced,25,0.2873075096724584,0.05687328418171578,"{""model__max_depth"": null, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200}"
Extra Trees balanced,26,0.2869138838475625,0.06315940775776202,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 100}"
Extra Trees balanced,27,0.2865578214434735,0.06904867067519933,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200}"
Extra Trees balanced,28,0.2864981221129854,0.05924985140619091,"{""model__max_depth"": 10, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}"
Extra Trees balanced,29,0.28492677087074947,0.06809281018332515,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}"
Extra Trees balanced,30,0.2842180645377556,0.07306684652494397,"{""model__max_depth"": 10, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 100}"
Extra Trees balanced,31,0.28174847219998106,0.06453304652883064,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}"
Extra Trees balanced,32,0.2773472566600302,0.05670712696611272,"{""model__max_depth"": null, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}"
Extra Trees balanced,33,0.27733466750330016,0.06370922837341977,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 500}"
Extra Trees balanced,34,0.27031543914829503,0.06754566203392937,"{""model__max_depth"": 10, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200}"
Extra Trees balanced,35,0.26848939376270037,0.061153729247903424,"{""model__max_depth"": 5, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 100}"
Extra Trees balanced,36,0.267025326796461,0.05612656741901465,"{""model__max_depth"": 10, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 500}"
Extra Trees balanced,37,0.2608840193339662,0.05980785281442606,"{""model__max_depth"": 5, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 100}"
Extra Trees balanced,38,0.2604035486818727,0.0560794968235048,"{""model__max_depth"": 10, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}"
Extra Trees balanced,39,0.25912552353878027,0.06937461157953169,"{""model__max_depth"": 5, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200}"
Extra Trees balanced,40,0.255440937737491,0.062227077313663795,"{""model__max_depth"": 5, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 500}"
XGBoost weighted,1,0.36803703373647256,0.057376616452959245,"{""model__colsample_bytree"": 0.75, ""model__learning_rate"": 0.01, ""model__max_depth"": 2, ""model__min_child_weight"": 5, ""model__n_estimators"": 200, ""model__reg_lambda"": 10.0, ""model__subsample"": 0.85}"
XGBoost weighted,2,0.36779327604106216,0.0564032053977781,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 50, ""model__reg_lambda"": 10.0, ""model__subsample"": 1.0}"
XGBoost weighted,3,0.36591937145052106,0.053579375207270734,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.01, ""model__max_depth"": 2, ""model__min_child_weight"": 3, ""model__n_estimators"": 200, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.75}"
XGBoost weighted,4,0.3626373792631859,0.08467561211805785,"{""model__colsample_bytree"": 0.75, ""model__learning_rate"": 0.03, ""model__max_depth"": 4, ""model__min_child_weight"": 3, ""model__n_estimators"": 50, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.85}"
XGBoost weighted,5,0.36197321532885435,0.060334718016147385,"{""model__colsample_bytree"": 0.75, ""model__learning_rate"": 0.01, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 10.0, ""model__subsample"": 0.75}"
XGBoost weighted,6,0.35888022102470785,0.06616563985049936,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.01, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 200, ""model__reg_lambda"": 3.0, ""model__subsample"": 0.75}"
XGBoost weighted,7,0.35869115844687566,0.07035536779222537,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.01, ""model__max_depth"": 4, ""model__min_child_weight"": 1, ""model__n_estimators"": 200, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.85}"
XGBoost weighted,8,0.35752531867600135,0.06742634317401215,"{""model__colsample_bytree"": 0.75, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 3, ""model__n_estimators"": 100, ""model__reg_lambda"": 10.0, ""model__subsample"": 0.85}"
XGBoost weighted,9,0.3553698513581794,0.05070855076609693,"{""model__colsample_bytree"": 0.75, ""model__learning_rate"": 0.05, ""model__max_depth"": 4, ""model__min_child_weight"": 5, ""model__n_estimators"": 100, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.85}"
XGBoost weighted,10,0.351409036183958,0.05860382694953314,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__min_child_weight"": 5, ""model__n_estimators"": 50, ""model__reg_lambda"": 10.0, ""model__subsample"": 0.85}"
XGBoost weighted,11,0.35014266569271396,0.04924973418731252,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 200, ""model__reg_lambda"": 10.0, ""model__subsample"": 1.0}"
XGBoost weighted,12,0.34995212010376625,0.06463744131239366,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.01, ""model__max_depth"": 4, ""model__min_child_weight"": 1, ""model__n_estimators"": 200, ""model__reg_lambda"": 3.0, ""model__subsample"": 0.85}"
XGBoost weighted,13,0.34991468712536,0.0615017167899069,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.01, ""model__max_depth"": 2, ""model__min_child_weight"": 5, ""model__n_estimators"": 50, ""model__reg_lambda"": 3.0, ""model__subsample"": 0.85}"
XGBoost weighted,14,0.34906889201693214,0.050832342767055276,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_child_weight"": 1, ""model__n_estimators"": 50, ""model__reg_lambda"": 1.0, ""model__subsample"": 1.0}"
XGBoost weighted,15,0.3458842141484818,0.04250604751774926,"{""model__colsample_bytree"": 0.75, ""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_child_weight"": 1, ""model__n_estimators"": 200, ""model__reg_lambda"": 10.0, ""model__subsample"": 0.85}"
XGBoost weighted,16,0.3454533242948671,0.05152553853765354,"{""model__colsample_bytree"": 0.75, ""model__learning_rate"": 0.1, ""model__max_depth"": 4, ""model__min_child_weight"": 5, ""model__n_estimators"": 50, ""model__reg_lambda"": 3.0, ""model__subsample"": 1.0}"
XGBoost weighted,17,0.3451174509128583,0.04647581218970869,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.05, ""model__max_depth"": 4, ""model__min_child_weight"": 1, ""model__n_estimators"": 200, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.75}"
XGBoost weighted,18,0.34508187856736067,0.05976975884146883,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.05, ""model__max_depth"": 4, ""model__min_child_weight"": 1, ""model__n_estimators"": 50, ""model__reg_lambda"": 5.0, ""model__subsample"": 1.0}"
XGBoost weighted,19,0.34467571016825743,0.04230395568984957,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.03, ""model__max_depth"": 4, ""model__min_child_weight"": 5, ""model__n_estimators"": 100, ""model__reg_lambda"": 1.0, ""model__subsample"": 1.0}"
XGBoost weighted,20,0.34301799837169145,0.056252304505901095,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.05, ""model__max_depth"": 4, ""model__min_child_weight"": 3, ""model__n_estimators"": 50, ""model__reg_lambda"": 1.0, ""model__subsample"": 1.0}"
XGBoost weighted,21,0.3420533567300545,0.051369132040929986,"{""model__colsample_bytree"": 0.75, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__min_child_weight"": 5, ""model__n_estimators"": 100, ""model__reg_lambda"": 3.0, ""model__subsample"": 0.75}"
XGBoost weighted,22,0.3406207192616983,0.04268940805390641,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 200, ""model__reg_lambda"": 10.0, ""model__subsample"": 0.75}"
XGBoost weighted,23,0.33896645214606613,0.048871908339815244,"{""model__colsample_bytree"": 0.75, ""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.75}"
XGBoost weighted,24,0.33888573080732787,0.06123122362559405,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 50, ""model__reg_lambda"": 3.0, ""model__subsample"": 0.75}"
XGBoost weighted,25,0.33706199775763906,0.04000003913691382,"{""model__colsample_bytree"": 0.75, ""model__learning_rate"": 0.03, ""model__max_depth"": 4, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 1.0}"
XGBoost weighted,26,0.33661000560800414,0.0369700569491742,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 3, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.85}"
XGBoost weighted,27,0.33483014194244576,0.028476550739972326,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.05, ""model__max_depth"": 4, ""model__min_child_weight"": 5, ""model__n_estimators"": 200, ""model__reg_lambda"": 3.0, ""model__subsample"": 1.0}"
XGBoost weighted,28,0.3335890081600958,0.027355162659598822,"{""model__colsample_bytree"": 0.75, ""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_weight"": 3, ""model__n_estimators"": 200, ""model__reg_lambda"": 1.0, ""model__subsample"": 1.0}"
XGBoost weighted,29,0.32971981616522533,0.02261384437797585,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.1, ""model__max_depth"": 4, ""model__min_child_weight"": 1, ""model__n_estimators"": 50, ""model__reg_lambda"": 10.0, ""model__subsample"": 1.0}"
XGBoost weighted,30,0.3288783282501626,0.03469527203055667,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_child_weight"": 3, ""model__n_estimators"": 100, ""model__reg_lambda"": 5.0, ""model__subsample"": 1.0}"
XGBoost weighted,31,0.3283145413355221,0.03961381666366445,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 3, ""model__n_estimators"": 300, ""model__reg_lambda"": 3.0, ""model__subsample"": 0.75}"
XGBoost weighted,32,0.3247041194689129,0.020686801533848307,"{""model__colsample_bytree"": 0.75, ""model__learning_rate"": 0.05, ""model__max_depth"": 4, ""model__min_child_weight"": 1, ""model__n_estimators"": 200, ""model__reg_lambda"": 5.0, ""model__subsample"": 1.0}"
XGBoost weighted,33,0.32077994652280317,0.03424159356731637,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 10.0, ""model__subsample"": 0.85}"
XGBoost weighted,34,0.31932655576852526,0.02264938786363128,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_weight"": 3, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.85}"
XGBoost weighted,35,0.31572687261752197,0.017354660124768977,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.05, ""model__max_depth"": 4, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 3.0, ""model__subsample"": 0.75}"
XGBoost weighted,36,0.30957242817017605,0.022043099926305147,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 200, ""model__reg_lambda"": 10.0, ""model__subsample"": 0.85}"
XGBoost weighted,37,0.3059230909784866,0.027037618866264792,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.1, ""model__max_depth"": 4, ""model__min_child_weight"": 3, ""model__n_estimators"": 200, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.85}"
XGBoost weighted,38,0.29979289942563364,0.02205784291012615,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__min_child_weight"": 3, ""model__n_estimators"": 300, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.85}"
XGBoost weighted,39,0.2940442783271759,0.025918197365786738,"{""model__colsample_bytree"": 0.75, ""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__min_child_weight"": 3, ""model__n_estimators"": 300, ""model__reg_lambda"": 3.0, ""model__subsample"": 0.85}"
XGBoost weighted,40,0.29389466770925404,0.03688958524503738,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.1, ""model__max_depth"": 4, ""model__min_child_weight"": 5, ""model__n_estimators"": 300, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.75}"
