score_name,top_k_share,top_k_customer_count,baseline_churn_rate,precision_at_k,lift_vs_baseline,churn_count_at_k,recall_at_k,min_score_in_top_k,mean_score_in_top_k,max_score_in_top_k
p_churn_calibrated,0.05,125,0.1208483393357343,0.568,4.7001059602649,71,0.23509933774834438,0.37837839126586914,0.6031714186668397,1.0
p_churn_calibrated,0.1,250,0.1208483393357343,0.488,4.038119205298013,122,0.40397350993377484,0.23076923191547394,0.4863608105182648,1.0
p_churn_calibrated,0.2,500,0.1208483393357343,0.338,2.796894039735099,169,0.5596026490066225,0.1515151560306549,0.34285535344481466,1.0
risk_value_score,0.05,125,0.1208483393357343,0.176,1.4563708609271522,22,0.0728476821192053,63.19714685527058,86.42505470944474,216.82827647488577
risk_value_score,0.1,250,0.1208483393357343,0.156,1.2908741721854304,39,0.1291390728476821,48.224814667446616,70.74725308086721,216.82827647488577
risk_value_score,0.2,500,0.1208483393357343,0.146,1.2081258278145695,73,0.24172185430463577,35.53560443604848,56.10409331314098,216.82827647488577
expected_incremental_profit_base,0.05,125,0.1208483393357343,0.176,1.4563708609271522,22,0.0728476821192053,-4.2100356643091175,-3.9196867953217707,-2.289646503676514
expected_incremental_profit_base,0.1,250,0.1208483393357343,0.156,1.2908741721854304,39,0.1291390728476821,-4.397189803999657,-4.115659319472411,-2.289646503676514
expected_incremental_profit_base,0.2,500,0.1208483393357343,0.146,1.2081258278145695,73,0.24172185430463577,-4.55580493522259,-4.298698819455038,-2.289646503676514
