active_model,calibration_method,val_PR_AUC,val_ROC_AUC,val_F2_score,val_precision,val_recall,val_brier_score,val_threshold,val_predicted_positive_rate,val_mean_predicted_probability,val_actual_positive_rate,val_calibration_gap_mean_minus_actual,val_TN,val_FP,val_FN,val_TP,test_PR_AUC,test_ROC_AUC,test_F2_score,test_precision,test_recall,test_brier_score,test_threshold,test_predicted_positive_rate,test_mean_predicted_probability,test_actual_positive_rate,test_calibration_gap_mean_minus_actual,test_TN,test_FP,test_FN,test_TP
Active Logistic Regression,isotonic,0.9828569459311355,0.8895565983528059,0.980561555075594,0.9098196392785571,1.0,0.06145027378760967,0.01,0.998,0.9079999999999999,0.908,-1.1102230246251565e-16,1,45,0,454,0.9728444360982407,0.859512539445275,0.9763572679509632,0.892,1.0,0.07612144363723956,0.01,1.0,0.9024089315718077,0.892,0.010408931571807667,0,54,0,446
Active Logistic Regression,raw_uncalibrated,0.983818772046702,0.8683681287109749,0.980561555075594,0.9098196392785571,1.0,0.06883203600754455,0.11,0.998,0.8958026648761862,0.908,-0.012197335123813824,1,45,0,454,0.9823386220055962,0.8819548247799368,0.9763572679509632,0.892,1.0,0.07274749242139304,0.11,1.0,0.8929323908287308,0.892,0.0009323908287307558,0,54,0,446
Active Logistic Regression,sigmoid,0.983818772046702,0.8683681287109749,0.980561555075594,0.9098196392785571,1.0,0.07106293445568776,0.37,0.998,0.9079852724702702,0.908,-1.4727529729863242e-05,1,45,0,454,0.9823386220055962,0.8819548247799368,0.9763572679509632,0.892,1.0,0.08137549493984346,0.37,1.0,0.9073385571494665,0.892,0.015338557149466525,0,54,0,446
