scenario,scenario_type,gross_margin,save_rate_given_treatment,treatment_cost,profitable_customer_count,profitable_customer_share,total_expected_incremental_profit_if_target_positive_only,top_30pct_risk_customer_count,total_expected_incremental_profit_if_target_top_30pct_risk
m0.25_s0.10_c1.0,sensitivity,0.25,0.1,1.0,399,0.15966386554621848,206.86148385833127,750,-243.75861425751458
m0.25_s0.10_c2.0,sensitivity,0.25,0.1,2.0,63,0.025210084033613446,35.74787044091053,750,-993.7586142575146
m0.25_s0.10_c3.0,sensitivity,0.25,0.1,3.0,7,0.0028011204481792717,6.932543336668596,750,-1743.7586142575146
m0.25_s0.10_c5.0,sensitivity,0.25,0.1,5.0,2,0.0008003201280512205,0.5346810628976373,750,-3243.7586142575146
m0.25_s0.10_c8.0,sensitivity,0.25,0.1,8.0,0,0.0,0.0,750,-5493.758614257515
m0.25_s0.15_c1.0,sensitivity,0.25,0.15,1.0,770,0.3081232492997199,593.8170020059955,750,9.362087202850152
m0.25_s0.15_c2.0,sensitivity,0.25,0.15,2.0,201,0.08043217286914765,168.077357914753,750,-740.6379127971499
m0.25_s0.15_c3.0,sensitivity,0.25,0.15,3.0,63,0.025210084033613446,53.62181240372161,750,-1490.6379127971497
m0.25_s0.15_c5.0,sensitivity,0.25,0.15,5.0,5,0.0020008003201280513,7.528547576804284,750,-2990.63791279715
m0.25_s0.15_c8.0,sensitivity,0.25,0.15,8.0,1,0.00040016006402561027,0.13106069090752648,750,-5240.63791279715
m0.25_s0.20_c1.0,sensitivity,0.25,0.2,1.0,1077,0.4309723889555822,1095.8374424476185,750,262.48277148497084
m0.25_s0.20_c2.0,sensitivity,0.25,0.2,2.0,399,0.15966386554621848,413.72296771666254,750,-487.51722851502916
m0.25_s0.20_c3.0,sensitivity,0.25,0.2,3.0,145,0.05802320928371348,166.65191140451134,750,-1237.5172285150293
m0.25_s0.20_c5.0,sensitivity,0.25,0.2,5.0,26,0.010404161664665866,29.732394991653376,750,-2737.5172285150293
m0.25_s0.20_c8.0,sensitivity,0.25,0.2,8.0,2,0.0008003201280512205,5.069362125795275,750,-4987.517228515029
m0.30_s0.03_c1.0,sensitivity,0.3,0.03,1.0,14,0.0056022408963585435,3.2268875541145334,750,-567.753110622537
m0.30_s0.03_c2.0,sensitivity,0.3,0.03,2.0,0,0.0,0.0,750,-1317.753110622537
m0.30_s0.03_c3.0,sensitivity,0.3,0.03,3.0,0,0.0,0.0,750,-2067.753110622537
m0.30_s0.03_c5.0,sensitivity,0.3,0.03,5.0,0,0.0,0.0,750,-3567.753110622537
m0.30_s0.03_c8.0,sensitivity,0.3,0.03,8.0,0,0.0,0.0,750,-5817.753110622537
m0.30_s0.05_c1.0,sensitivity,0.3,0.05,1.0,103,0.041216486594637856,37.74771375199581,750,-446.2551685545087
m0.30_s0.05_c2.0,sensitivity,0.3,0.05,2.0,5,0.0020008003201280513,3.011418812286973,750,-1196.2551685545088
m0.30_s0.05_c3.0,sensitivity,0.3,0.05,3.0,2,0.0008003201280512205,0.32080863773858237,750,-1946.2551685545086
m0.30_s0.05_c5.0,sensitivity,0.3,0.05,5.0,0,0.0,0.0,750,-3446.2551685545086
m0.30_s0.05_c8.0,sensitivity,0.3,0.05,8.0,0,0.0,0.0,750,-5696.2551685545095
m0.30_s0.08_c1.0,sensitivity,0.3,0.08,1.0,368,0.14725890356142457,183.1263939407807,750,-264.0082778689342
m0.30_s0.08_c2.0,sensitivity,0.3,0.08,2.0,55,0.022008803521408563,29.642842845789783,750,-1014.0082778689341
m0.30_s0.08_c3.0,sensitivity,0.3,0.08,3.0,6,0.0024009603841536613,5.905125332319294,750,-1764.0082778689343
m0.30_s0.08_c5.0,sensitivity,0.3,0.08,5.0,1,0.00040016006402561027,0.20387851908150623,750,-3264.0082778689343
m0.30_s0.08_c8.0,sensitivity,0.3,0.08,8.0,0,0.0,0.0,750,-5514.008277868934
m0.30_s0.10_c1.0,sensitivity,0.3,0.1,1.0,556,0.2224889955982393,343.4123024527887,750,-142.5103371090175
m0.30_s0.10_c2.0,sensitivity,0.3,0.1,2.0,103,0.041216486594637856,75.49542750399162,750,-892.5103371090174
m0.30_s0.10_c3.0,sensitivity,0.3,0.1,3.0,26,0.010404161664665866,17.839436994992024,750,-1642.5103371090177
m0.30_s0.10_c5.0,sensitivity,0.3,0.1,5.0,2,0.0008003201280512205,2.6416172754771647,750,-3142.5103371090177
m0.30_s0.10_c8.0,sensitivity,0.3,0.1,8.0,0,0.0,0.0,750,-5392.510337109017
m0.30_s0.15_c1.0,sensitivity,0.3,0.15,1.0,959,0.38375350140056025,884.5143003075823,750,161.23450464342014
m0.30_s0.15_c2.0,sensitivity,0.3,0.15,2.0,309,0.12364945978391356,301.2044812298535,750,-588.7654953565798
m0.30_s0.15_c3.0,sensitivity,0.3,0.15,3.0,103,0.041216486594637856,113.24315282998093,750,-1338.7654953565798
m0.30_s0.15_c5.0,sensitivity,0.3,0.15,5.0,14,0.0056022408963585435,16.134444050955818,750,-2838.76549535658
m0.30_s0.15_c8.0,sensitivity,0.3,0.15,8.0,2,0.0008003201280512205,2.962426403203718,750,-5088.76549535658
m0.30_s0.20_c1.0,sensitivity,0.3,0.2,1.0,1275,0.5102040816326531,1549.4564878693427,750,464.979325781965
m0.30_s0.20_c2.0,sensitivity,0.3,0.2,2.0,556,0.2224889955982393,686.8246049055774,750,-285.020674218035
m0.30_s0.20_c3.0,sensitivity,0.3,0.2,3.0,232,0.09283713485394157,312.24226754849155,750,-1035.0206742180349
m0.30_s0.20_c5.0,sensitivity,0.3,0.2,5.0,55,0.022008803521408563,74.10711556165454,750,-2535.020674218035
m0.30_s0.20_c8.0,sensitivity,0.3,0.2,8.0,5,0.0020008003201280513,12.045675249147893,750,-4785.020674218035
m0.40_s0.03_c1.0,sensitivity,0.4,0.03,1.0,55,0.022008803521408563,14.821418757245391,750,-507.00414749671586
m0.40_s0.03_c2.0,sensitivity,0.4,0.03,2.0,2,0.0008003201280512205,1.0566466811738793,750,-1257.004147496716
m0.40_s0.03_c3.0,sensitivity,0.4,0.03,3.0,0,0.0,0.0,750,-2007.004147496716
m0.40_s0.03_c5.0,sensitivity,0.4,0.03,5.0,0,0.0,0.0,750,-3507.0041474967156
m0.40_s0.03_c8.0,sensitivity,0.4,0.03,8.0,0,0.0,0.0,750,-5757.004147496716
m0.40_s0.05_c1.0,sensitivity,0.4,0.05,1.0,232,0.09283713485394157,104.08075584949722,750,-345.0068914060116
m0.40_s0.05_c2.0,sensitivity,0.4,0.05,2.0,26,0.010404161664665866,11.892957996661352,750,-1095.0068914060116
m0.40_s0.05_c3.0,sensitivity,0.4,0.05,3.0,3,0.0012004801920768306,2.4879444596767804,750,-1845.0068914060116
m0.40_s0.05_c5.0,sensitivity,0.4,0.05,5.0,0,0.0,0.0,750,-3345.0068914060116
m0.40_s0.05_c8.0,sensitivity,0.4,0.05,8.0,0,0.0,0.0,750,-5595.006891406011
m0.40_s0.08_c1.0,sensitivity,0.4,0.08,1.0,612,0.24489795918367346,405.03895768028633,750,-102.01103715857889
m0.40_s0.08_c2.0,sensitivity,0.4,0.08,2.0,129,0.05162064825930372,95.72728980905438,750,-852.0110371585788
m0.40_s0.08_c3.0,sensitivity,0.4,0.08,3.0,32,0.012805122048819529,24.89808081244655,750,-1602.0110371585788
m0.40_s0.08_c5.0,sensitivity,0.4,0.08,5.0,2,0.0008003201280512205,3.484391369942335,750,-3102.011037158579
m0.40_s0.08_c8.0,sensitivity,0.4,0.08,8.0,0,0.0,0.0,750,-5352.011037158579
m0.40_s0.10_c1.0,sensitivity,0.4,0.1,1.0,832,0.3329331732693077,686.9046568643109,750,59.98621718797672
m0.40_s0.10_c2.0,sensitivity,0.4,0.1,2.0,232,0.09283713485394157,208.16151169899445,750,-690.0137828120232
m0.40_s0.10_c3.0,sensitivity,0.4,0.1,3.0,76,0.03041216486594638,71.23414664142561,750,-1440.0137828120232
m0.40_s0.10_c5.0,sensitivity,0.4,0.1,5.0,6,0.0024009603841536613,9.841876332511603,750,-2940.0137828120232
m0.40_s0.10_c8.0,sensitivity,0.4,0.1,8.0,2,0.0008003201280512205,0.8554897006362197,750,-5190.013782812023
m0.40_s0.15_c1.0,sensitivity,0.4,0.15,1.0,1275,0.5102040816326531,1549.4565538818501,750,464.9793395245603
m0.40_s0.15_c2.0,sensitivity,0.4,0.15,2.0,556,0.2224889955982393,686.824650187748,750,-285.0206604754397
m0.40_s0.15_c3.0,sensitivity,0.4,0.15,3.0,232,0.09283713485394157,312.24229361155653,750,-1035.0206604754399
m0.40_s0.15_c5.0,sensitivity,0.4,0.15,5.0,55,0.022008803521408563,74.10712525006241,750,-2535.02066047544
m0.40_s0.15_c8.0,sensitivity,0.4,0.15,8.0,5,0.0020008003201280513,12.045676122886857,750,-4785.020660475439
m0.40_s0.20_c1.0,sensitivity,0.4,0.2,1.0,1546,0.6186474589835934,2537.9746838101228,750,869.9724343759535
m0.40_s0.20_c2.0,sensitivity,0.4,0.2,2.0,832,0.3329331732693077,1373.8093137286219,750,119.97243437595344
m0.40_s0.20_c3.0,sensitivity,0.4,0.2,3.0,458,0.18327330932372948,747.7354564003982,750,-630.0275656240465
m0.40_s0.20_c5.0,sensitivity,0.4,0.2,5.0,129,0.05162064825930372,239.3182453548805,750,-2130.0275656240465
m0.40_s0.20_c8.0,sensitivity,0.4,0.2,8.0,26,0.010404161664665866,47.57183198664541,750,-4380.0275656240465
