ranking_score,ranking_decile,customer_count,churn_count,churn_rate,min_score,mean_score,max_score,baseline_churn_rate,lift_vs_baseline,cumulative_customers,cumulative_churn,cumulative_precision,cumulative_recall
p_churn_calibrated,1,250,112,0.448,0.2358961183346207,0.2773114163197435,0.3567665152527032,0.1208483393357343,3.7071258278145693,250,112,0.448,0.3708609271523179
p_churn_calibrated,2,250,53,0.212,0.15521215685912293,0.18728481418575174,0.23564605094829827,0.1208483393357343,1.7542649006622515,500,165,0.33,0.5463576158940397
p_churn_calibrated,3,250,48,0.192,0.12477622440998208,0.13830455205975534,0.15514839614106607,0.1208483393357343,1.5887682119205297,750,213,0.284,0.7052980132450332
p_churn_calibrated,4,250,18,0.072,0.10955668971549685,0.11666573584238783,0.12469570210708258,0.1208483393357343,0.5957880794701986,1000,231,0.231,0.7649006622516556
p_churn_calibrated,5,250,22,0.088,0.10077343593177716,0.1048575720307525,0.10954880344551077,0.1208483393357343,0.7281854304635761,1250,253,0.2024,0.8377483443708609
p_churn_calibrated,6,249,15,0.060240963855421686,0.09397827596258909,0.09717612564827895,0.10077215122622094,0.1208483393357343,0.49848400223410194,1499,268,0.17878585723815876,0.8874172185430463
p_churn_calibrated,7,250,14,0.056,0.08866549661288174,0.09133054800279321,0.0939545689767603,0.1208483393357343,0.46339072847682117,1749,282,0.16123499142367068,0.9337748344370861
p_churn_calibrated,8,250,12,0.048,0.08172507648996097,0.08566973894651633,0.08863000770675104,0.1208483393357343,0.39719205298013244,1999,294,0.1470735367683842,0.9735099337748344
p_churn_calibrated,9,250,7,0.028,0.07353475040118328,0.077718299328089,0.08170661773598537,0.1208483393357343,0.23169536423841058,2249,301,0.13383726100489107,0.9966887417218543
p_churn_calibrated,10,250,1,0.004,0.04438722243414183,0.06232921757382802,0.07352462798139385,0.1208483393357343,0.03309933774834437,2499,302,0.1208483393357343,1.0
risk_value_score,1,250,16,0.064,56.17561836980746,76.99162554180705,175.21368017257058,0.1208483393357343,0.52958940397351,250,16,0.064,0.052980132450331126
risk_value_score,2,250,24,0.096,40.29826977731037,46.99209638837274,56.15347658520589,0.1208483393357343,0.7943841059602649,500,40,0.08,0.13245033112582782
risk_value_score,3,250,21,0.084,30.08197983186576,34.725470405554574,40.2347178333771,0.1208483393357343,0.6950860927152318,750,61,0.08133333333333333,0.20198675496688742
risk_value_score,4,250,28,0.112,22.980071533827417,26.440015462334078,30.0815870722999,0.1208483393357343,0.9267814569536423,1000,89,0.089,0.2947019867549669
risk_value_score,5,250,37,0.148,18.53958642322733,20.682162293597276,22.955915422566665,0.1208483393357343,1.2246754966887416,1250,126,0.1008,0.41721854304635764
risk_value_score,6,249,45,0.18072289156626506,14.822133279201278,16.641737946704307,18.529779030650587,0.1208483393357343,1.4954520067023058,1499,171,0.11407605070046697,0.5662251655629139
risk_value_score,7,250,47,0.188,11.835716010897128,13.202673248770173,14.803936419211125,0.1208483393357343,1.5556688741721854,1749,218,0.12464265294453973,0.7218543046357616
risk_value_score,8,250,43,0.172,8.892565663606723,10.346458445931814,11.825223900886433,0.1208483393357343,1.4232715231788078,1999,261,0.13056528264132067,0.8642384105960265
risk_value_score,9,250,32,0.128,5.581881647016667,7.270986162339634,8.87380962772943,0.1208483393357343,1.05917880794702,2249,293,0.1302801244997777,0.9701986754966887
risk_value_score,10,250,9,0.036,1.109894237002519,3.452636305727575,5.558027084740667,0.1208483393357343,0.2978940397350993,2499,302,0.1208483393357343,1.0
expected_incremental_profit_base,1,250,16,0.064,-4.2978047703774065,-4.037604680727412,-2.8098289978428674,0.1208483393357343,0.52958940397351,250,16,0.064,0.052980132450331126
expected_incremental_profit_base,2,250,24,0.096,-4.496271627783621,-4.412598795145341,-4.298081542684926,0.1208483393357343,0.7943841059602649,500,40,0.08,0.13245033112582782
expected_incremental_profit_base,3,250,21,0.084,-4.623975252101678,-4.565931619930567,-4.497066027082786,0.1208483393357343,0.6950860927152318,750,61,0.08133333333333333,0.20198675496688742
expected_incremental_profit_base,4,250,28,0.112,-4.712749105827157,-4.669499806720824,-4.6239801615962515,0.1208483393357343,0.9267814569536423,1000,89,0.089,0.2947019867549669
expected_incremental_profit_base,5,250,37,0.148,-4.768255169709659,-4.741472971330034,-4.713051057217917,0.1208483393357343,1.2246754966887416,1250,126,0.1008,0.41721854304635764
expected_incremental_profit_base,6,249,45,0.18072289156626506,-4.814723334009984,-4.791978275666196,-4.7683777621168675,0.1208483393357343,1.4954520067023058,1499,171,0.11407605070046697,0.5662251655629139
expected_incremental_profit_base,7,250,47,0.188,-4.852053549863786,-4.834966584390373,-4.814950794759861,0.1208483393357343,1.5556688741721854,1749,218,0.12464265294453973,0.7218543046357616
expected_incremental_profit_base,8,250,43,0.172,-4.888842929204916,-4.870669269425853,-4.85218470123892,0.1208483393357343,1.4232715231788078,1999,261,0.13056528264132067,0.8642384105960265
expected_incremental_profit_base,9,250,32,0.128,-4.930226479412291,-4.909112672970755,-4.889077379653382,0.1208483393357343,1.05917880794702,2249,293,0.1302801244997777,0.9701986754966887
expected_incremental_profit_base,10,250,9,0.036,-4.986126322037468,-4.956842046178405,-4.930524661440741,0.1208483393357343,0.2978940397350993,2499,302,0.1208483393357343,1.0
