value_model,target,val_RMSE_log,val_MAE_log,val_R2_log,val_MAE_revenue,test_RMSE_log,test_MAE_log,test_R2_log,test_MAE_revenue
Random Forest Regressor,log1p(discounted_future_revenue_60d | active),0.8819569732580146,0.6551484049514467,0.5156867049939833,138.86494371371847,0.8851312852226064,0.6417187539240072,0.4973279412461955,143.76886152562693
XGBoost Regressor,log1p(discounted_future_revenue_60d | active),0.9173386073626256,0.67109886772963,0.4760486811435487,143.2416253789331,0.9123098353140284,0.6605654567450194,0.4659842370322368,149.5488660065142
Ridge Regression,log1p(discounted_future_revenue_60d | active),0.9187512166178305,0.6868139214184237,0.47443377396361575,166.30674435672623,0.9572313602623825,0.7132884937860668,0.4121003529709222,191.17673993934773
