model,tuned,features_used,best_cv_PR_AUC,best_params,val_PR_AUC,val_ROC_AUC,val_F2_score,val_precision,val_recall,val_brier_score,val_threshold,val_predicted_positive_rate,val_mean_predicted_probability,val_actual_positive_rate,val_calibration_gap_mean_minus_actual,val_TN,val_FP,val_FN,val_TP,test_PR_AUC,test_ROC_AUC,test_F2_score,test_precision,test_recall,test_brier_score,test_threshold,test_predicted_positive_rate,test_mean_predicted_probability,test_actual_positive_rate,test_calibration_gap_mean_minus_actual,test_TN,test_FP,test_FN,test_TP,best_cv_PR_AUC_std
Logistic Regression balanced,True,numeric+categorical,0.31595086406765593,"{""model__C"": 0.005}",0.3700777030256409,0.7464431084058405,0.4835589941972921,0.18315018315018314,0.819672131147541,0.20608667849913617,0.43,0.546,0.4577471210930532,0.122,0.3357471210930532,216,223,11,50,0.3420677821687067,0.7312121212121212,0.4573804573804574,0.1825726141078838,0.7333333333333333,0.2052341504400746,0.43,0.482,0.4540844470017007,0.12,0.3340844470017007,243,197,16,44,0.04508367706993319
XGBoost weighted,True,numeric+categorical,0.37111520299278,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 50, ""model__reg_lambda"": 10.0, ""model__subsample"": 1.0}",0.3635314957047222,0.7437731057918517,0.5060240963855421,0.24561403508771928,0.6885245901639344,0.17114348608045396,0.43,0.342,0.38951621909439565,0.122,0.26751621909439566,310,129,19,42,0.3643305047425586,0.741439393939394,0.4601990049751244,0.22839506172839505,0.6166666666666667,0.16966731348257327,0.43,0.324,0.3882786406725645,0.12,0.2682786406725645,315,125,23,37,0.053996525093683065
Extra Trees balanced,True,numeric+categorical,0.36142250140835835,"{""model__max_depth"": null, ""model__max_features"": null, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",0.3512107465587973,0.7437917771388028,0.4966887417218543,0.215311004784689,0.7377049180327869,0.11557135233535663,0.21000000000000002,0.418,0.23031085551003394,0.122,0.10831085551003394,275,164,16,45,0.36815203164425514,0.725340909090909,0.4337899543378995,0.1919191919191919,0.6333333333333333,0.11049009604933031,0.21000000000000002,0.396,0.22383054178862255,0.12,0.10383054178862255,280,160,22,38,0.062012349408017746
Random Forest balanced,True,numeric+categorical,0.36226143132835137,"{""model__max_depth"": null, ""model__max_features"": null, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",0.3012525327895816,0.7289293849658314,0.498220640569395,0.1761006289308176,0.9180327868852459,0.10765015854916271,0.09999999999999999,0.636,0.18851353779937352,0.122,0.06651353779937352,177,262,5,56,0.36537756540268373,0.7255681818181818,0.46846846846846846,0.16507936507936508,0.8666666666666667,0.09982296589707652,0.09999999999999999,0.63,0.18479192604068395,0.12,0.06479192604068396,177,263,8,52,0.06778074558161812
Dummy prior,False,none,,{},0.122,0.5,0.4099462365591398,0.122,1.0,0.10711756959609721,0.01,1.0,0.12074716477651767,0.122,-0.0012528352234823237,0,439,0,61,0.12,0.5,0.40540540540540543,0.12,1.0,0.10560055825520329,0.01,1.0,0.12074716477651767,0.12,0.0007471647765176781,0,440,0,60,
