champion_model,calibration_method,val_PR_AUC,val_ROC_AUC,val_F2_score,val_precision,val_recall,val_brier_score,val_threshold,val_predicted_positive_rate,val_mean_predicted_probability,val_actual_positive_rate,val_calibration_gap_mean_minus_actual,val_TN,val_FP,val_FN,val_TP,test_PR_AUC,test_ROC_AUC,test_F2_score,test_precision,test_recall,test_brier_score,test_threshold,test_predicted_positive_rate,test_mean_predicted_probability,test_actual_positive_rate,test_calibration_gap_mean_minus_actual,test_TN,test_FP,test_FN,test_TP,val_brier_gap_from_best,calibration_selection_eligible,selected_for_champion,selection_rule
Logistic Regression balanced,isotonic,0.3724384781418512,0.7717614548713545,0.501002004008016,0.19607843137254902,0.819672131147541,0.08782734779287209,0.06999999999999999,0.51,0.122,0.122,0.0,234,205,11,50,0.3185082366992907,0.7406249999999999,0.4721030042918455,0.19469026548672566,0.7333333333333333,0.09326363012585626,0.06999999999999999,0.452,0.12128485689685399,0.12,0.0012848568968539947,258,182,16,44,0.0,True,True,choose highest validation PR-AUC among calibration methods within 0.015 validation Brier of the best-Brier method
Logistic Regression balanced,sigmoid,0.3700777030256409,0.7464431084058405,0.47752808988764045,0.17586206896551723,0.8360655737704918,0.09608721391390236,0.09999999999999999,0.58,0.12195257685392098,0.122,-4.7423146079014766e-05,200,239,10,51,0.3420677821687067,0.7312121212121212,0.452755905511811,0.17164179104477612,0.7666666666666667,0.09488685018211547,0.09999999999999999,0.536,0.12157954160122614,0.12,0.001579541601226142,218,222,14,46,0.008259866121030274,True,False,choose highest validation PR-AUC among calibration methods within 0.015 validation Brier of the best-Brier method
Logistic Regression balanced,raw_uncalibrated,0.3700777030256409,0.7464431084058405,0.4835589941972921,0.18315018315018314,0.819672131147541,0.20608667849913617,0.43,0.546,0.4577471210930532,0.122,0.3357471210930532,216,223,11,50,0.3420677821687067,0.7312121212121212,0.4573804573804574,0.1825726141078838,0.7333333333333333,0.2052341504400746,0.43,0.482,0.4540844470017007,0.12,0.3340844470017007,243,197,16,44,0.11825933070626408,False,False,choose highest validation PR-AUC among calibration methods within 0.015 validation Brier of the best-Brier method
