active_model,calibration_method,val_PR_AUC,val_ROC_AUC,val_F2_score,val_precision,val_recall,val_brier_score,val_threshold,val_predicted_positive_rate,val_mean_predicted_probability,val_actual_positive_rate,val_calibration_gap_mean_minus_actual,val_TN,val_FP,val_FN,val_TP,test_PR_AUC,test_ROC_AUC,test_F2_score,test_precision,test_recall,test_brier_score,test_threshold,test_predicted_positive_rate,test_mean_predicted_probability,test_actual_positive_rate,test_calibration_gap_mean_minus_actual,test_TN,test_FP,test_FN,test_TP
Active Random Forest,isotonic,0.9840739454397406,0.8913282895996936,0.980561555075594,0.9098196392785571,1.0,0.06080468461706852,0.01,0.998,0.908,0.908,0.0,1,45,0,454,0.980802501966195,0.8851934894535791,0.9763572679509632,0.892,1.0,0.07089577613739778,0.01,1.0,0.9009347492912124,0.892,0.008934749291212407,0,54,0,446
Active Logistic Regression,isotonic,0.9835254336834783,0.8891017046542808,0.980561555075594,0.9098196392785571,1.0,0.06141348566870301,0.01,0.998,0.908,0.908,0.0,1,45,0,454,0.975828943549362,0.8665919282511211,0.9763572679509632,0.892,1.0,0.07526831335833277,0.01,1.0,0.9034310286813801,0.892,0.011431028681380129,0,54,0,446
Active Random Forest,raw_uncalibrated,0.9842399101049878,0.8772265849454126,0.980561555075594,0.9098196392785571,1.0,0.0649372228631413,0.46,0.998,0.8942054690393147,0.908,-0.01379453096068528,1,45,0,454,0.9849379582112217,0.8909234346454077,0.9763572679509632,0.892,1.0,0.07100510364338075,0.46,1.0,0.8885794878062371,0.892,-0.003420512193762937,0,54,0,446
Active Logistic Regression,raw_uncalibrated,0.9838752639258954,0.8689906148247462,0.980561555075594,0.9098196392785571,1.0,0.06861773829904612,0.12,0.998,0.8937976302989703,0.908,-0.014202369701029727,1,45,0,454,0.9826176076705165,0.8823285168576648,0.9763572679509632,0.892,1.0,0.07258201482577456,0.12,1.0,0.891016765615586,0.892,-0.0009832343844140556,0,54,0,446
Active Random Forest,sigmoid,0.9842399101049878,0.8772265849454126,0.980561555075594,0.9098196392785571,1.0,0.0699561178466896,0.6,0.998,0.9079983294200811,0.908,-1.6705799189553616e-06,1,45,0,454,0.9849379582112217,0.8909234346454077,0.9763572679509632,0.892,1.0,0.07870598870471032,0.6,1.0,0.9044564505151381,0.892,0.012456450515138107,0,54,0,446
Active Logistic Regression,sigmoid,0.9838752639258954,0.8689906148247462,0.980561555075594,0.9098196392785571,1.0,0.07086050935726623,0.37,0.998,0.9079849966303168,0.908,-1.5003369683186385e-05,1,45,0,454,0.9826176076705165,0.8823285168576648,0.9763572679509632,0.892,1.0,0.08122897690126646,0.37,1.0,0.9073725869658511,0.892,0.015372586965851087,0,54,0,446
