model,best_cv_PR_AUC,best_cv_PR_AUC_std,best_params
Logistic Regression balanced,0.31595086406765593,0.04508367706993319,"{""model__C"": 0.005}"
XGBoost weighted,0.37111520299278,0.053996525093683065,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 50, ""model__reg_lambda"": 10.0, ""model__subsample"": 1.0}"
Extra Trees balanced,0.36142250140835835,0.062012349408017746,"{""model__max_depth"": null, ""model__max_features"": null, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}"
Random Forest balanced,0.36226143132835137,0.06778074558161812,"{""model__max_depth"": null, ""model__max_features"": null, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}"
Dummy prior,,,{}
