model,rank_test_score,mean_cv_PR_AUC,std_cv_PR_AUC,params
Random Forest balanced,31,0.31470055286222737,0.077218387123856,"{""model__max_depth"": null, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 100}"
Random Forest balanced,32,0.3142016986085832,0.05845479275780052,"{""model__max_depth"": null, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}"
Random Forest balanced,33,0.31278549324481614,0.0706130133339577,"{""model__max_depth"": 5, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 100}"
Random Forest balanced,34,0.31169884772530687,0.07235413556054324,"{""model__max_depth"": 10, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 100}"
Random Forest balanced,35,0.3103083692446631,0.07435448658297834,"{""model__max_depth"": 10, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}"
Random Forest balanced,36,0.309834327501112,0.05639522071304706,"{""model__max_depth"": 10, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}"
Random Forest balanced,37,0.30911228427498366,0.035221774651017966,"{""model__max_depth"": null, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}"
Random Forest balanced,38,0.30501296711721,0.07461751507899692,"{""model__max_depth"": 5, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 500}"
Random Forest balanced,39,0.29853066668236494,0.06635045677572167,"{""model__max_depth"": 5, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 100}"
Random Forest balanced,40,0.2945118240089232,0.06398306760495588,"{""model__max_depth"": 5, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200}"
