household_key,churn_flag,Frequency,Monetary,Basket_Value_Std,customer_lifetime,Recency_Capped,Inactive_Days_Ratio,active_weeks_ratio,promo_usage_ratio,Avg_Items_Per_Basket,Discount_Per_Transaction,IPT_mean,IPT_std,IPT_CV,Private_Brand_Ratio,Display_Responsiveness,Mailer_Responsiveness,Rolling_Freq_Slope,Total_Campaigns_Received,Campaigns_Last_30D,Days_Since_Last_Camp,Camp_Count_TypeA,Camp_Count_TypeB,Camp_Count_TypeC,has_demographic_info,Primary_Store_ID,is_treated_x,treatment_source_x,treatment_cutoff_day_x,is_treated_y,propensity_score,propensity_logit,common_support_flag,treatment_source_y,treatment_cutoff_day_y,p_churn_calibrated,predicted_discounted_value_60d_if_active,risk_decile,priority_segment,risk_rank
1,0,75,3849.7,1.4352152,600,2,0.0033333333333333,0.7265238879736409,0.32,20.453333333333333,0.9187999471028646,8.542857142857143,4.586324075991654,0.5368600493601693,0.1080931263858093,0.5005549361789404,0.1331853488724453,0.999999999999999,8.0,2.0,5.0,3.0,4.0,1.0,1,436,1,Heavy_Promo_User,651,1,0.6456471030799236,0.599959773925285,True,Heavy_Promo_User,651,0.0759924886266445,350.92757417621215,9,Low Risk - High Value,2185
10,0,7,163.94,3.6183362,537,90,0.286778398510242,0.0386029411764705,0.0,7.142857142857143,0.0,191.5,234.0523445727472,1.2222053908652393,0.2337662337662337,0.6799999093333454,0.1199999840000021,0.0,0.0,0.0,651.0,0.0,0.0,0.0,0,441,0,Light/No_Promo_User,651,0,0.0329308848303103,-3.379859000640393,False,Light/No_Promo_User,651,0.25825047714567,68.796891814062,1,High Risk - Low Value,180
100,0,21,1743.1,2.927011,645,37,0.0573643410852713,0.2147239263803681,0.0952380952380952,27.0,0.238095238095238,32.0,24.299062624810126,0.7593454697298571,0.1581325301204819,0.5694863962313234,0.1586102695073977,-1.0000000000000004,0.0,0.0,651.0,0.0,0.0,0.0,0,368,1,Heavy_Promo_User,651,1,0.5902543825799608,0.365017079067989,True,Heavy_Promo_User,651,0.1338989001413009,204.53541880699137,3,High Risk - Low Value,647
1000,0,120,3630.0,1.7951152,602,2,0.0033222591362126,0.7931034482758621,0.0083333333333333,14.216666666666669,0.0145833333333333,5.217391304347826,6.1398648603558446,1.1768051760249496,0.4147619047619048,0.3736892260548654,0.0977121063026115,0.4999999999999985,3.0,0.0,64.0,3.0,0.0,0.0,0,372,0,Light/No_Promo_User,651,0,0.3364683827857624,-0.6790723191676469,True,Light/No_Promo_User,651,0.0833808267629417,343.60560375243267,8,Low Risk - High Value,1961
1001,0,72,3376.39,3.2409801,635,5,0.0078740157480314,0.4688473520249221,0.0138888888888888,12.333333333333334,0.1651388804117838,10.0,15.024710828627317,1.5024695803931511,0.1723237597911227,0.4326797357341194,0.1071895417830749,-1.5000000000000016,3.0,0.0,64.0,2.0,1.0,0.0,1,31782,0,Light/No_Promo_User,651,0,0.394096432953401,-0.4301252100811357,True,Light/No_Promo_User,651,0.0944458508303801,374.6538365107981,6,Low Risk - High Value,1479
1002,0,28,895.45,1.6929142,578,3,0.0051903114186851,0.2871794871794872,0.0,13.607142857142858,0.0,23.0,21.07328482542134,0.9162293766577204,0.1990950226244343,0.5340908969524797,0.1772727232438017,2.0,0.0,0.0,651.0,0.0,0.0,0.0,0,424,0,Light/No_Promo_User,651,0,0.3291315703827738,-0.7121154558972017,True,Light/No_Promo_User,651,0.0670146466255502,133.58646709777847,10,Low Risk - Low Value,2340
1003,0,62,2542.17,7.612916,623,31,0.0497592295345104,0.4222222222222222,0.0161290322580645,12.85483870967742,0.0403225806451612,13.155555555555557,13.170137632254466,1.0011076739070908,0.3866666666666666,0.5896946508616923,0.3034351116084436,-0.5000000000000002,2.0,0.0,328.0,2.0,0.0,0.0,1,295,0,Light/No_Promo_User,651,0,0.4725102413102143,-0.1100700289261423,True,Light/No_Promo_User,651,0.1595642051670173,80.8582462770864,2,High Risk - Low Value,446
1004,0,197,2441.93,2.9469068,568,1,0.0017605633802816,0.8886956521739131,0.0,3.710659898477157,0.0,3.3157894736842106,3.151981046916976,0.9505945917214303,0.2860147213459516,0.6206533127433792,0.1812434122102907,-0.5000000000000023,5.0,0.0,64.0,3.0,2.0,0.0,1,316,0,Light/No_Promo_User,651,0,0.2148802960872659,-1.2957550845248178,True,Light/No_Promo_User,651,0.0959332541745228,185.23619244253376,6,Low Risk - Low Value,1416
1005,0,164,2202.45,1.2349477,536,12,0.0223880597014925,0.8637200736648251,0.0121951219512195,7.292682926829267,0.0060975609756097,3.4248366013071894,3.300105282326764,0.96357754565334,0.5651857246904588,0.5018234828459265,0.2115244331763353,-3.0000000000000004,3.0,0.0,64.0,3.0,0.0,0.0,0,400,0,Light/No_Promo_User,651,0,0.2029609967616625,-1.3678897887539485,True,Light/No_Promo_User,651,0.1389117922739855,139.79393841255873,3,High Risk - Low Value,610
1006,0,9,121.51,2.4707193,598,18,0.0301003344481605,0.1041322314049586,0.2222222222222222,4.444444444444445,0.5555555555555556,72.5,85.27434717260687,1.1761977298017872,0.1568627450980392,0.5102039775093923,0.4081631820075138,0.5,0.0,0.0,651.0,0.0,0.0,0.0,0,321,1,Heavy_Promo_User,651,1,0.0925817837656741,-2.2825110395188406,True,Heavy_Promo_User,651,0.0878271871986928,31.8362194599366,8,Low Risk - Low Value,1789
1007,0,115,1229.99,1.5591006,578,14,0.0242214532871972,0.7538461538461538,0.0,6.026086956521739,0.0,5.423076923076923,4.25792763233251,0.7851483283835453,0.447653429602888,0.6791314755231427,0.2316043397876436,-1.0000000000000009,3.0,0.0,64.0,3.0,0.0,0.0,0,293,0,Light/No_Promo_User,651,0,0.1956874177794037,-1.413469398554773,True,Light/No_Promo_User,651,0.1435919542334386,115.71798364310334,3,High Risk - Low Value,589
1008,0,27,223.53,2.7491043,573,29,0.0506108202443281,0.2775862068965517,0.0,3.592592592592593,0.0,22.666666666666668,24.92888435855722,1.0998032364937436,0.3904761904761905,0.5825242152889111,0.2135922122726007,-1.5000000000000009,0.0,0.0,651.0,0.0,0.0,0.0,0,292,0,Light/No_Promo_User,651,0,0.1496752681913587,-1.7371502453140897,True,Light/No_Promo_User,651,0.1521117692776063,26.63889964386505,3,High Risk - Low Value,525
1009,1,23,125.52,0.94417113,582,65,0.1116838487972508,0.2495755517826825,0.0,3.391304347826087,0.0,24.61904761904762,22.03287586874712,0.8949520412065005,0.312,0.3902438707118804,0.0894308870381392,-0.5000000000000002,0.0,0.0,651.0,0.0,0.0,0.0,0,381,0,Light/No_Promo_User,651,0,0.1324721320746361,-1.879275336374598,True,Light/No_Promo_User,651,0.2738291293149648,28.33549357712985,1,High Risk - Low Value,139
101,0,124,4621.64,9.097772,535,2,0.0037383177570093,0.8007380073800738,0.0806451612903225,7.57258064516129,0.4023387047552293,5.383838383838384,4.039870352302114,0.750368521600512,0.3529693486590038,0.6874400734063275,0.4204218580037303,5.5,4.0,0.0,64.0,3.0,1.0,0.0,1,292,1,Heavy_Promo_User,651,1,0.4722033105463782,-0.1113015161738992,True,Heavy_Promo_User,651,0.1101334577846166,413.4118891606706,4,Low Risk - High Value,989
1010,0,56,1660.6,2.267167,562,5,0.0088967971530249,0.5043936731107205,0.0,12.946428571428571,0.0,12.108695652173912,9.12439528801666,0.7535401016522795,0.4013230429988975,0.5546961264674461,0.1801104952473978,0.9999999999999996,1.0,0.0,64.0,1.0,0.0,0.0,0,341,0,Light/No_Promo_User,651,0,0.3636192778190633,-0.5596896238179152,True,Light/No_Promo_User,651,0.1030071632882214,211.4649653330509,5,Low Risk - Low Value,1180
